"zpid","city","zipcode","propertyTaxRate","garageSpaces","hasAssociation","hasCooling","hasGarage","hasHeating","hasSpa","hasView","homeType","parkingSpaces","yearBuilt","latestPrice","numPriceChanges","latest_saledate","latest_salemonth","latest_saleyear","numOfPhotos","numOfAccessibilityFeatures","numOfAppliances","numOfParkingFeatures","numOfPatioAndPorchFeatures","numOfSecurityFeatures","numOfWaterfrontFeatures","numOfWindowFeatures","numOfCommunityFeatures","lotSizeSqFt","livingAreaSqFt","numOfPrimarySchools","numOfElementarySchools","numOfMiddleSchools","numOfHighSchools","avgSchoolDistance","avgSchoolRating","avgSchoolSize","MedianStudentsPerTeacher","numOfBathrooms","numOfBedrooms","numOfStories"
29364977,"austin",78759,1.98,2,0,1,1,1,0,0,"1",2,1987,589900,4,2020-06-25,6,2020,17,0,2,2,2,1,0,0,0,17424,2475,1,0,1,1,2.46666666666667,7,1523,17,2,4,1
29441983,"austin",78727,1.98,4,0,1,1,1,0,0,"1",4,1989,824900,5,2020-06-17,6,2020,76,0,5,2,3,4,0,3,0,36590.4,3302,1,0,1,1,2.56666666666667,6,1474,15,3,4,1
29376928,"austin",78729,2.21,0,1,1,0,1,0,0,"1",0,1986,304900,1,2018-05-02,5,2018,16,0,0,1,0,0,0,0,0,7492,1524,1,0,1,1,0.9,6,1343,13,3,4,2
29371975,"austin",78759,1.98,4,0,1,1,1,1,0,"1",4,1976,425000,8,2020-10-15,10,2020,116,0,5,1,3,3,0,1,0,9234,2163,1,0,1,1,1.23333333333333,9,1616,16,2,3,1
29557427,"austin",78729,2.21,2,0,1,1,1,0,0,"1",2,1975,159900,1,2019-05-03,5,2019,24,0,0,3,0,0,0,0,0,12196.8,1445,1,0,1,1,1,6,1343,13,2,4,2
29377926,"austin",78729,1.98,2,1,1,1,1,0,0,"1",2,1985,325000,1,2020-06-09,6,2020,46,0,2,2,2,0,0,1,0,6577,1628,1,0,1,1,0.933333333333334,6,1343,13,2,3,1
29371973,"austin",78759,1.98,0,0,1,0,1,0,0,"1",0,1976,389900,2,2018-08-22,8,2018,27,0,4,1,0,0,0,0,0,8712,1711,1,0,1,1,1.23333333333333,9,1616,16,2,3,1
29376925,"austin",78729,1.98,2,0,1,1,1,0,0,"1",2,1985,305000,3,2018-01-30,1,2018,54,0,3,2,0,0,0,0,0,6011,2029,1,0,1,1,0.9,6,1343,13,3,3,2
29377922,"austin",78729,1.98,0,1,1,0,1,0,0,"1",0,1985,325000,1,2019-09-20,9,2019,1,0,0,1,0,0,0,0,0,6969,1801,1,0,1,1,0.933333333333334,6,1343,13,3,4,2
29443970,"austin",78727,1.98,0,0,1,0,1,0,0,"1",0,1970,615000,3,2018-02-03,2,2018,26,0,2,3,0,0,0,0,0,27878.4,3388,1,0,1,1,3.16666666666667,6.66666666666667,1486,15,4,4,1
29369472,"austin",78759,1.98,2,0,1,1,1,1,0,"1",2,1975,399000,1,2018-02-24,2,2018,60,0,3,2,0,0,0,0,0,10454,1985,1,0,1,1,1.63333333333333,8.33333333333333,1638,16,2,3,1
29376921,"austin",78729,1.98,2,1,1,1,1,0,0,"1",2,1984,389900,3,2019-06-18,6,2019,40,0,7,2,0,0,0,0,0,6141,2326,1,0,1,1,0.9,6,1343,13,3,4,2
29364971,"austin",78759,1.98,0,0,1,0,1,0,0,"1",0,1987,490000,2,2018-04-11,4,2018,34,0,2,1,0,0,0,0,0,10454,2337,1,0,1,1,2.6,7,1523,17,3,4,2
29575418,"austin",78729,2.21,2,0,1,1,1,0,1,"1",2,1987,514900,4,2019-12-31,12,2019,79,0,3,3,1,1,0,0,0,6882,3454,1,0,1,1,0.966666666666667,6,1343,13,3,5,2
29439465,"austin",78759,1.98,2,0,1,1,1,0,0,"1",2,1977,485000,3,2020-07-27,7,2020,25,0,4,2,2,1,0,1,0,8319,1502,1,0,1,1,2.5,6.66666666666667,1486,15,2,3,1
29366469,"austin",78759,1.98,0,0,1,0,1,0,1,"1",0,1998,1049000,2,2019-08-26,8,2019,40,0,3,1,3,0,0,3,0,47916,3419,1,0,1,1,1.66666666666667,8.33333333333333,1638,16,4,4,2
29443963,"austin",78727,1.98,0,0,1,0,1,0,1,"1",0,1974,595000,3,2019-11-27,11,2019,40,0,1,1,1,0,0,0,0,16988.4,2470,1,0,1,1,3.1,6.66666666666667,1486,15,2,4,1
29371966,"austin",78759,1.98,0,0,1,0,1,0,0,"1",0,1981,229900,1,2019-04-26,4,2019,1,0,0,1,0,0,0,0,0,8407,1903,1,0,1,1,1.16666666666667,9,1616,16,2,4,1
29582401,"austin",78729,2.21,0,0,1,0,1,0,0,"1",0,1993,283000,3,2018-06-28,6,2018,27,0,3,2,0,0,0,0,0,4443,1779,1,0,1,1,1.1,5.66666666666667,1402,12,3,3,2
29369465,"austin",78759,1.98,0,0,1,0,1,0,0,"1",0,1984,459900,2,2018-06-14,6,2018,25,0,5,1,0,0,0,0,0,10497,1799,1,0,1,1,3.33333333333333,7,1523,17,3,3,2
29443959,"austin",78727,1.98,5,0,1,1,1,1,1,"1",5,1972,724900,4,2020-10-06,10,2020,79,1,5,2,4,4,0,0,0,25264.8,2363,1,0,1,1,3.03333333333333,6.66666666666667,1486,15,3,5,2
29371961,"austin",78759,1.98,0,0,1,0,1,0,0,"1",0,1977,399000,1,2020-12-03,12,2020,1,0,0,1,0,0,0,0,0,8712,1400,1,0,1,1,1.23333333333333,9,1616,16,2,3,1
58304958,"austin",78727,1.98,0,1,1,0,1,0,0,"4",0,1998,175000,5,2019-04-10,4,2019,26,0,4,2,0,0,0,0,0,4791,1168,1,0,1,1,2.56666666666667,6.66666666666667,1486,15,3,2,2
29582387,"austin",78729,2.21,2,0,1,1,1,0,1,"1",2,1990,275000,9,2018-02-17,2,2018,22,0,8,3,0,0,0,0,0,5227,2210,1,0,1,1,1.1,5.66666666666667,1402,12,3,3,2
